country,name,type,rank
abkhazia,Jeladze,s,80
abkhazia,Gvilava,s,81
abkhazia,Gamisonia,s,82
abkhazia,Chiqovani,s,83
abkhazia,Qajaia,s,84
abkhazia,Arqania,s,85
abkhazia,Kharebava,s,86
abkhazia,Parulava,s,87
abkhazia,Gelashvili,s,88
abkhazia,Jobava,s,89
abkhazia,Baraturia,s,90
abkhazia,Kukava,s,91
abkhazia,Shelia,s,92
abkhazia,Gadelia,s,93
abkhazia,Kakulia,s,94
abkhazia,Pirveli,s,95
abkhazia,Bazagh,s,96
abkhazia,Bokuchava,s,97
abkhazia,Tsikolia,s,98
abkhazia,Zarandia,s,99
abkhazia,Ratyan,s,100
algeria,Mohamed,f,1
algeria,Fatima,f,2
algeria,Ahmed,f,3
algeria,Fatma,f,4
algeria,Aicha,f,5
algeria,Abdelkader,f,6
algeria,Zohra,f,7
algeria,Fatiha,f,8
algeria,Kheira,f,9
algeria,Ali,f,10
algeria,Yamina,f,11
algeria,Malika,f,12
algeria,Djamila,f,13
algeria,Houria,f,14
algeria,Mohammed,f,15
algeria,Messaouda,f,16
algeria,Said,f,17
algeria,Meriem,f,18
algeria,Nadia,f,19
algeria,Halima,f,20
algeria,Amar,f,21
algeria,Karima,f,22
algeria,Brahim,f,23
algeria,Salah,f,24
algeria,Rabah,f,25
algeria,Rachid,f,26
algeria,Djamel,f,27
algeria,Med,f,28
algeria,Khadidja,f,29
algeria,Kamel,f,30
algeria,Hocine,f,31
algeria,Saliha,f,32
algeria,Youcef,f,33
algeria,Farida,f,34
algeria,Khedidja,f,35
algeria,Naima,f,36
algeria,Samia,f,37
algeria,Mustapha,f,38
algeria,Lakhdar,f,39
algeria,Noureddine,f,40
algeria,Hadda,f,41
algeria,Amel,f,42
algeria,Leila,f,43
algeria,Zineb,f,44
algeria,Salima,f,45
algeria,Abderrahmane,f,46
algeria,Souad,f,47
algeria,Tahar,f,48
algeria,Rachida,f,49
algeria,Messaoud,f,50
algeria,Omar,f,51
algeria,Bachir,f,52
algeria,Abdellah,f,53
algeria,Mourad,f,54
algeria,Dalila,f,55
algeria,Aissa,f,56
algeria,Samira,f,57
algeria,Abdelhamid,f,58
algeria,Saida,f,59
algeria,Amina,f,60
algeria,Belkacem,f,61
algeria,Miloud,f,62
algeria,Mebarka,f,63
algeria,Khaled,f,64
algeria,Abdelkrim,f,65
algeria,Nacera,f,66
algeria,Cherifa,f,67
algeria,Mokhtar,f,68
algeria,Zahia,f,69
algeria,Fadila,f,70
algeria,Samir,f,71
algeria,Tayeb,f,72
algeria,Abdelaziz,f,73
algeria,Khadra,f,74
algeria,Djillali,f,75
algeria,M'Hamed,f,76
algeria,Ammar,f,77
algeria,Fatna,f,78
algeria,Larbi,f,79
algeria,Assia,f,80
algeria,Farid,f,81
algeria,Slimane,f,82
algeria,Moussa,f,83
algeria,Fouzia,f,84
algeria,Louiza,f,85
algeria,Akila,f,86
algeria,Nassima,f,87
algeria,Baya,f,88
algeria,Bakhta,f,89
algeria,Nabila,f,90
algeria,Boualem,f,91
algeria,Hamid,f,92
algeria,Ghania,f,93
algeria,Zoulikha,f,94
algeria,Safia,f,95
algeria,Hamza,f,96
algeria,Karim,f,97
algeria,Laid,f,98
algeria,Salim,f,99
algeria,Toufik,f,100
algeria,Saidi,s,1
algeria,Slimani,s,2
algeria,Touati,s,3
algeria,Mansouri,s,4
algeria,Brahimi,s,5
algeria,Messaoudi,s,6
algeria,Haddad,s,7
algeria,Yahiaoui,s,8
algeria,Rahmani,s,9
algeria,Dahmani,s,10
algeria,Sahraoui,s,11
algeria,Benaissa,s,12
algeria,Moussaoui,s,13
algeria,Bouziane,s,14
algeria,Salhi,s,15
algeria,Saadi,s,16
algeria,Aissaoui,s,17
algeria,Benyahia,s,18
algeria,Amara,s,19
algeria,Belhadj,s,20
algeria,Mokhtari,s,21
algeria,Merabet,s,22
algeria,Abbas,s,23
algeria,Taleb,s,24
algeria,Bouzid,s,25
algeria,Mebarki,s,26
algeria,Khaldi,s,27
algeria,Bouzidi,s,28
algeria,Hadji,s,29
algeria,Hamdi,s,30
algeria,Hamidi,s,31
algeria,Zitouni,s,32
algeria,Cherifi,s,33
algeria,Talbi,s,34
algeria,Kadri,s,35
algeria,Bouras,s,36
algeria,Abed,s,37
algeria,Belaid,s,38
algeria,Toumi,s,39
algeria,Benali,s,40
algeria,Achour,s,41
algeria,Taibi,s,42
algeria,Chaib,s,43
algeria,Chergui,s,44
algeria,Larbi,s,45
algeria,Ziani,s,46
algeria,Madani,s,47
algeria,Belarbi,s,48
algeria,Nasri,s,49
algeria,Boukhalfa,s,50
algeria,Kadi,s,51
algeria,Yousfi,s,52
algeria,Abid,s,53
algeria,Gasmi,s,54
algeria,Amari,s,55
algeria,Abdelli,s,56
algeria,Bensalem,s,57
algeria,Azzouz,s,58
algeria,Zaidi,s,59
algeria,Arab,s,60
algeria,Daoudi,s,61
algeria,Meziane,s,62
algeria,Amrani,s,63
algeria,Khelifa,s,64
algeria,Ameur,s,65
algeria,Zaoui,s,66
algeria,Zerrouki,s,67
algeria,Soltani,s,68
algeria,Cherif,s,69
algeria,Hassani,s,70
algeria,Hachemi,s,71
algeria,Belkacem,s,72
algeria,Salmi,s,73
algeria,Khelifi,s,74
algeria,Mahmoudi,s,75
algeria,Ziane,s,76
algeria,Rahal,s,77
algeria,Dahmane,s,78
algeria,Benamara,s,79
algeria,Ayad,s,80
algeria,Hamadi,s,81
algeria,Mansour,s,82
algeria,Abdi,s,83
algeria,Laib,s,84
algeria,Dib,s,85
algeria,Daoud,s,86
algeria,Boukhari,s,87
algeria,Chabane,s,88
algeria,Gacem,s,89
algeria,Zouaoui,s,90
algeria,Ferhat,s,91
algeria,Benamar,s,92
algeria,Ramdani,s,93
algeria,Seddiki,s,94
algeria,Benahmed,s,95
algeria,Rahmouni,s,96
algeria,Hamza,s,97
algeria,Latreche,s,98
algeria,Saoudi,s,99
algeria,Houari,s,100
andorra,Maria,f,1
andorra,Josep,f,2
andorra,Joan,f,3
andorra,Jose,f,4
andorra,Antoni,f,5
andorra,Jordi,f,6
andorra,Manuel,f,7
andorra,Rosa,f,8
andorra,Francesc,f,9
andorra,Montserrat,f,10
andorra,Pere,f,11
andorra,Antonio,f,12
andorra,Juan,f,13
andorra,Francisco,f,14
andorra,Miquel,f,15
andorra,Ramon,f,16
andorra,Jaume,f,17
andorra,Ana,f,18
andorra,Lluis,f,19
andorra,Manel,f,20
andorra,Xavier,f,21
andorra,Meritxell,f,22
andorra,Anna,f,23
andorra,Isabel,f,24
andorra,Carles,f,25
andorra,Carmen,f,26
andorra,David,f,27
andorra,Albert,f,28
andorra,Carlos,f,29
andorra,Cristina,f,30
andorra,Marta,f,31
andorra,Enric,f,32
andorra,Jesus,f,33
andorra,Daniel,f,34
andorra,Joaquim,f,35
andorra,Marc,f,36
andorra,Carme,f,37
andorra,Monica,f,38
andorra,Luis,f,39
andorra,Silvia,f,40
andorra,Fernando,f,41
andorra,Angel,f,42
andorra,Laura,f,43
andorra,Nuria,f,44
andorra,Miguel,f,45
andorra,Sandra,f,46
andorra,Joao,f,47
andorra,Josefa,f,48
andorra,Eva,f,49
andorra,Merce,f,50
andorra,Olga,f,51
andorra,Teresa,f,52
andorra,Robert,f,53
andorra,Pedro,f,54
andorra,Jean,f,55
andorra,Ferran,f,56
andorra,Pilar,f,57
andorra,Joana,f,58
andorra,Oscar,f,59
andorra,Dolors,f,60
andorra,Rafael,f,61
andorra,Antonia,f,62
andorra,Jorge,f,63
andorra,Esther,f,64
andorra,Gerard,f,65
andorra,Patricia,f,66
andorra,Sonia,f,67
andorra,Andreu,f,68
andorra,Concepcio,f,69
andorra,Julia,f,70
andorra,Lourdes,f,71
andorra,Manuela,f,72
andorra,Eduard,f,73
andorra,Mercedes,f,74
andorra,Santiago,f,75
andorra,Francesca,f,76
andorra,Victor,f,77
andorra,Salvador,f,78
andorra,Alain,f,79
andorra,Mária,f,80
andorra,Marie,f,81
andorra,Angela,f,82
andorra,Roser,f,83
andorra,Alexandre,f,84
andorra,Julio,f,85
andorra,Javier,f,86
andorra,Marti,f,87
andorra,Gemma,f,88
andorra,Ricard,f,89
andorra,Alfons,f,90
andorra,Sergio,f,91
andorra,Susana,f,92
andorra,Josepa,f,93
andorra,Natalia,f,94
andorra,Agusti,f,95
andorra,Rafel,f,96
andorra,Immaculada,f,97
andorra,Paulo,f,98
andorra,Sergi,f,99
andorra,Mario,f,100
andorra,Garcia,s,1
andorra,Fernandez,s,2
andorra,Rodriguez,s,3
andorra,Martinez,s,4
andorra,Lopez,s,5
andorra,Sanchez,s,6
andorra,Gonzalez,s,7
andorra,Perez,s,8
andorra,Torres,s,9
andorra,Font,s,10
andorra,da Silva,s,11
andorra,Pereira,s,12
andorra,Martin,s,13
andorra,Gonçalves,s,14
andorra,Ruiz,s,15
andorra,Casal,s,16
andorra,Fernandes,s,17
andorra,Gomes,s,18
andorra,Riba,s,19
andorra,Rossell,s,20
andorra,Rodrigues,s,21
andorra,Areny,s,22
andorra,Vidal,s,23
andorra,Naudi,s,24
andorra,Armengol,s,25
andorra,Gomez,s,26
andorra,Ferreira,s,27
andorra,Moreno,s,28
andorra,Alvarez,s,29
andorra,Jimenez,s,30
andorra,Vila,s,31
